"id","rssi","lat","lon",
"0",-96,"41.997548","8.8279396",
"1",-103,"41.9973146","8.8281691",
"2",-47,"41.9966958","8.8271621",
"3",-97,"41.9964244","8.8275394",
"4",-103,"41.9963595","8.8279108",
"5",-100,"41.9966706","8.828012",
"6",-101,"41.9969347","8.8281682",
"7",-103,"41.9970753","8.8275811",
"8",-86,"41.9970938","8.8277926",
"9",-110,"41.9972655","8.8280794",
"10",-119,"41.9974797","8.8283887",
