"id","rssi",
"0",-82,
"1",-82,
"2",-85,
"3",-84,
"5",-84,
"6",-84,
"7",-84,
"8",-84,
"9",-84,
"10",-84,
"11",-85,
"12",-86,
"13",-75,
"14",-71,
"15",-88,
"16",-92,
"17",-85,
"18",-84,
"19",-84,
"20",-83,
"21",-84,
"22",-84,
"23",-84,
"24",-85,
"25",-85,
"26",-84,
"27",-85,
"28",-85,
"29",-85,
"30",-84,
"32",-89,
"33",-82,
"34",-87,
"35",-97,
"36",-96,
"37",-97,
"38",-97,
"39",-98,
"40",-97,
"41",-96,
"42",-95,
"43",-96,
"44",-95,
"45",-96,
"46",-97,
"47",-87,
